,Instant Speed (cm/ms),Distance (cm),Accel (cm/ms^2),Loop Time (ms),Average Speed (mm/s)
74 @ 8,0.0363636,46,-0.0000144,12980,375
74 @ 8,0.0357143,46.5,-0.0000137,12916,377
74 @ 11,0.0500000,67,-0.0000187,9081,536
74 @ 11,0.0512821,72,-0.0000183,9070,537
74 @ 14,0.0606061,85.5,-0.0000215,7780,626
74 @ 14,0.0606061,82.5,-0.0000223,—,—
78 @ 8,0.0162602,15,-0.0000088,28639,170
78 @ 8,0.0161290,14,-0.0000093,28596,170
78 @ 11,0.0303030,43,-0.0000107,15107,322
78 @ 11,0.0312500,42.5,-0.0000115,15016,324
78 @ 14,0.0476190,93,-0.0000122,9853,494
78 @ 14,0.0465116,92.5,-0.0000117,9799,497
24 @ 8,0.0208333,21,-0.0000103,22588,215
24 @ 8,0.0219780,20.5,-0.0000118,22543,216
24 @ 11,0.0392157,60,-0.0000128,12052,404
24 @ 11,0.0392157,58.5,-0.0000131,12036,404
24 @ 14,0.0526316,132,-0.0000105,8580,567
24 @ 14,0.0540541,143,-0.0000102,8560,569
58 @ 8,0.0198020,19,-0.0000103,25826,188
58 @ 8,0.0200000,19,-0.0000105,25805,189
58 @ 11,0.0370370,55.5,-0.0000124,13243,368
58 @ 11,0.0377358,55,-0.0000129,13200,369
58 @ 14,0.0571429,124,-0.0000132,8225,592
58 @ 14,0.0588235,126,-0.0000137,8213,593
1 @ 8,0.0215054,20,-0.0000116,23254,209
1 @ 8,0.0229885,20,-0.0000132,23145,210
1 @ 11,0.0392157,57,-0.0000135,12394,393
1 @ 11,0.0400000,58,-0.0000138,12376,393
1 @ 14,0.0571429,126,-0.0000130,8326,585
1 @ 14,0.0588235,126,-0.0000137,8282,588
79 @ 8,0.0253165,21.5,-0.0000149,19671,247
79 @ 8,0.0250000,22,-0.0000142,19639,248
79 @ 11,0.0434783,61.5,-0.0000154,11160,436
79 @ 11,0.0434783,62.5,-0.0000151,11155,436
79 @ 14,0.0666667,127.5,-0.0000174,7307,666
79 @ 14,0.0666667,130.5,-0.0000170,7309,666
