,Instant Speed (cm/ms),Distance (cm),Accel (cm/ms^2),Loop Time (ms),Average Speed (mm/s)
24 @ 8,0.0219780,20,-0.0000121,21662,217
24 @ 8,0.0217391,21,-0.0000113,21644,217
24 @ 11,0.0392157,61,-0.0000126,11544,407
24 @ 11,0.0392157,58.5,-0.0000131,11521,408
24 @ 14,0.0540541,126.5,-0.0000115,8289,567
24 @ 14,0.0540541,127,-0.0000115,8193,573
79 @ 8,0.0240964,22,-0.0000132,18921,248
79 @ 8,0.0240964,23,-0.0000126,18884,249
79 @ 11,0.0434783,64,-0.0000148,10732,438
79 @ 11,0.0425532,61,-0.0000148,10720,438
79 @ 14,0.0666667,127,-0.0000175,7011,670
79 @ 14,0.0666667,128,-0.0000174,7009,670
58 @ 8,0.0190476,18,-0.0000101,24847,189
58 @ 8,0.0190476,17.5,-0.0000104,24793,189
58 @ 11,0.0370370,57,-0.0000120,12712,370
58 @ 11,0.0370370,56.5,-0.0000121,12718,369
58 @ 14,0.0571429,125.5,-0.0000130,7910,594
58 @ 14,0.0571429,126,-0.0000130,7911,594
74 @ 8,0.0384615,47,-0.0000157,12420,378
74 @ 8,0.0377358,47,-0.0000151,12399,379
74 @ 11,0.0526316,68.5,-0.0000202,8720,539
74 @ 11,0.0540541,69,-0.0000212,8716,539
74 @ 14,0.0625000,84.5,-0.0000231,7405,634
74 @ 14,0.0625000,82,-0.0000238,7374,637
78 @ 8,0.0168067,14,-0.0000101,27583,170
78 @ 8,0.0168067,14.5,-0.0000097,27521,171
78 @ 11,0.0312500,42,-0.0000116,14553,323
78 @ 11,0.0322581,42,-0.0000124,14538,323
78 @ 14,0.0500000,93,-0.0000134,9532,493
78 @ 14,0.0476190,91,-0.0000125,9566,491
1 @ 8,0.0208333,20.5,-0.0000106,22447,209
1 @ 8,0.0206186,20,-0.0000106,22407,210
1 @ 11,0.0384615,57,-0.0000130,11960,393
1 @ 11,0.0384615,56.5,-0.0000131,11937,394
1 @ 14,0.0571429,125.5,-0.0000130,8018,586
1 @ 14,0.0588235,125.5,-0.0000138,7981,589
